Generated Questions,Generated Answers,True Answers,map_element_category,Reference Answer
How many Food & Beverage are near Village Gazebo & Pond?,"Multiple (e.g., 7, 8, 9, 10, 11)","Multiple (3,5,6,7,8)",dining location,"Multiple (3,5,6,7,8)"
In which map direction is Food & Beverage located relative to Gondola Bus Circle?,North / Northwest,,direction,North / Northwest
"If I have a emergency within resort boundaries, who do I call?",Yes,970-726-1480,map information,970-726-1480
Which Food & Beverage is located in the north of Parking Garage?,None directly shown (mostly located South/East),,dining location,None directly shown (mostly located South/East)
Where can I find Food & Beverage in the north of The Gondola?,The Lodge at Sunspot (17) (Off-map/up mountain),,dining location,The Lodge at Sunspot (17) (Off-map/up mountain)
Which Food & Beverage can I find from West Portal towards Vintage Hotel?,1 through 16,,dining location,1 through 16
What services are provided at the vintage hotel?,Balcony House,"Restrooms, AED",map information,"Restrooms, AED"
Is the parking agarage free after 3pm?,10 & 11 (at Balcony House),Yes,map information,Yes
Where can I find the nearest Food & Beverage from West Portal?,"Inside West Portal (12, 13, 14, 15, 16)","Inside West Portal (14, 15)",dining location,"Inside West Portal (14, 15)"
What number do I call if I have a emergency outside the resort boundaries?,North,911,map information,911
How close is the closest Food & Beverage from Village Stage?,Short walk (adjacent),,dining location,Short walk (adjacent)
What is the closest Shopping & Services east of Village Gazebo & Pond?,7 & 8,Trail's End Mercantile (9),retail,Trail's End Mercantile (9)
What Ski+Ride School services is located at West Portal?,The Lodge at Sunspot (17),"Private & Group Lesson Services (1) and Adult, Private & Clinic Meeting Area (2)",map information,"Private & Group Lesson Services (1) and Adult, Private & Clinic Meeting Area (2)"
What is the closest parking lot from Vintage Hotel?,8 & 9 (at Zephyr Mountain Lodge),Parking Lot C,facility,Parking Lot C
Are there accessible parking at this resort?,Balcony House (10 & 11),"Yes, there are assessible parking throughout the resort",accessibility feature,"Yes, there are assessible parking throughout the resort"
Where can I find the Bus Icon on the map?,"Gondola Bus Circle, Founders Pointe, Village Cabriolet",Winter Park Drive,facility,Winter Park Drive
What is the nearest Man/Woman Icon (Restrooms) to Gondola Bus Circle?,Balcony House,,amenity,Balcony House
How many Lock Icon (Lockers) icons are in The Gondola?,0 (Nearest is in Balcony House),,amenity,0 (Nearest is in Balcony House)
What does the Ski Boot Icon (Rentals) icon represent on this map?,Rentals,,map legend,Rentals
"Where is the main entrance located relative to the rest of the map (e.g., top, bottom, specific zone)?",Bottom (along Winter Park Drive),,location,Bottom (along Winter Park Drive)
Which major Entertainment or areas are closest to the West Portal?,Ski+Ride School Services,,attraction,Ski+Ride School Services
I am standing at the The Gondola. List the major zones or areas I can access directly from here?,"Mountain/Slopes, Balcony House, Gondola Bus Circle",Mountain/Slopes,region,Mountain/Slopes
