Generated Questions,Generated Answers,True Answers,map_element_category,Reference Answer
How many Dining are near Main Lobby / Concierge?,"4 (Whispering Canyon Cafe, Territory Lounge, Artist Point, Roaring Fork)",,dining location,"4 (Whispering Canyon Cafe, Territory Lounge, Artist Point, Roaring Fork)"
In which map direction is Dining located relative to Main Lobby / Concierge?,North and East,,direction,North and East
Are there any Dining within a short walk of Copper Creek Villas?,"Yes (Geyser Point Bar & Grill, Roaring Fork)",,dining location,"Yes (Geyser Point Bar & Grill, Roaring Fork)"
Which Recreation is located in the south of Boulder Ridge Cove Pool?,Cypress Courts (N),Sturdy Branches Health Club (I),attraction,Sturdy Branches Health Club (I)
Where can I find Dining in the northwest of Boulder Ridge Cove Pool?,In the main Disney's Wilderness Lodge building,,dining location,In the main Disney's Wilderness Lodge building
Which Recreation can I find from Cacade Cabins Parking towards Cascade Cabins?,Buttons and Bells Game Arcade (J),Spitfire Flats Barbecue Pavillion (O),attraction,Spitfire Flats Barbecue Pavillion (O)
What location has Dining from Main Lobby / Concierge towards Copper Creek Springs Pool?,The main building / Roaring Fork (F),,dining location,The main building / Roaring Fork (F)
What lake are the Cascade Cabins directly next to?,Geyser Point Bar & Grill (E),Bay Lake,attraction,Bay Lake
Where can I find the nearest Dining from Copper Creek Villas?,Geyser Point Bar & Grill (E),,dining location,Geyser Point Bar & Grill (E)
Where is boat transportation located near?,North / Northeast,Fire Rock Geyser,location,Fire Rock Geyser
How close is the closest Dining from Main Lobby / Concierge (short/moderate/long walk)?,Short walk,,dining location,Short walk
What is the closest Dining north of Main Entrance?,Whispering Canyon Cafe (B),,dining location,Whispering Canyon Cafe (B)
Is the Main Entrance to the Lodge a far walk to the Lobby?,None (Dining is to the North/East),Yes,facility,Yes
Where are service animal relief areas located?,Whispering Canyon Cafe (B),Located in grassy areas adjacent to parking lots,accessibility feature,Located in grassy areas adjacent to parking lots
