Generated Questions,Generated Answers,True Answers,map_element_category,Reference Answer
How many Dining are near Golden Eagle Lodge?,Multiple (located in the adjacent Town Square),,dining location,Multiple (located in the adjacent Town Square)
In which map direction is Retail located relative to Ice Arena?,East (in Town Square),South in the Town Square,direction,South in the Town Square
Are there any Dining within a short walk of Waterville Valley Welcome Center?,No,,dining location,No
Which Lodging is located in the southeast of Golf Course?,Black Bear Lodge,,attraction,Black Bear Lodge
Where can I find Recreation in the southeast of Ice Arena?,Corcoran Pond (Beach and Boat Rentals),Corcoran Pond (Beach and Boat Rentals),attraction,Corcoran Pond (Beach and Boat Rentals)
Which Recreation can I find from Ice Arena towards Golden Eagle Lodge?,Corcoran Pond and Town Square,Corcoran Pond(Boat Rentals),attraction,Corcoran Pond(Boat Rentals)
What location has Dining from White Mountain Athletic Club towards Snow's Mountain Chairlift?,Town Square,Coyote Grill and Food places at Town Square,dining location,Coyote Grill and Food places at Town Square
What is the nearest Dining from Snow's Mountain Chairlift?,Town Square,,dining location,Town Square
Where can I find closest recreation to the north of Ice Arena?,Town Square,Nordic Training Area ,attraction,Nordic Training Area 
What map direction should I head toward to reach the closest Recreation from Town Square?,"It is located within Town Square (Indoor Ice Arena), or head North to Corcoran Pond",,attraction,"It is located within Town Square (Indoor Ice Arena), or head North to Corcoran Pond"
How close is the closest Dining from Town Square (short walk)?,Very close / Short walk (located inside Town Square),,dining location,Very close / Short walk (located inside Town Square)
What is the closest Dining north of Ice Arena?,Town Square,None,dining location,None
Where is the closest Dining north of Black Bear Lodge?,Coyote Grill (Northeast),Food Places at Town Square,dining location,Food Places at Town Square
What is the closest Dining from Town Square toward Snow Star Inn?,Inside Town Square,Food Places at Town Square,dining location,Food Places at Town Square
Where is the closest Dining from Waterville Valley Welcome Center towards Golden Eagle Lodge?,Town Square,Coyote Grill,dining location,Coyote Grill
Where can I find the Forest Service Shield (Located in the White Mountain National Forest) icon on the map?,Bottom left corner,Bottom right corner,location,Bottom right corner
What is the nearest Blue Bus Icon (Resort Shuttle Bus Stops) icon to Waterville Valley Welcome Center?,Directly at the Waterville Valley Welcome Center,,facility,Directly at the Waterville Valley Welcome Center
How many Blue Bus Icon (Resort Shuttle Bus Stops) icons are in Town Square?,1,,facility,1
