Generated Questions,Generated Answers,True Answers,map_element_category,Reference Answer
How many recreation activities are on Disney's Yacht Club Resort?,"2 (Bayside Marina, Ship Shape Massage)","Three( Bayside Marina (S), Tennis Courts, Boat Launch)",attraction,"Three( Bayside Marina (S), Tennis Courts, Boat Launch)"
What is the name of the restaurant in Stormalong Bay?,East/Northeast,Hurricane Hanna's waterside bar & grill,dining location,Hurricane Hanna's waterside bar & grill
Are there any Dining within a short walk of Stormalong Bay?,"Yes (Hurricane Hanna's, Beaches & Cream)",Yes (Hurricane Hanna's (I)),dining location,Yes (Hurricane Hanna's (I))
Is there a laundary room in the fountain east of the Volleyball court?,"Ale and Compass Lounge (D), Captain's Grille (E), Crew's Cup Lounge (F), Yachtsman Steakhouse (G) are to the northeast.",yes ,amenity,yes 
Where can I find Dining in the north of Stormalong Bay?,Beaches & Cream Soda Shop (H),,dining location,Beaches & Cream Soda Shop (H)
Which Dining can I find from Disney's Yacht Club Resort towards Stormalong Bay?,"Ale and Compass Lounge, Captain's Grille, Crew's Cup Lounge, Yachtsman Steakhouse","Multiple Dinning places in the Yacht Club Resort (Ale and Compass Lounge (D),Captain's Grille (E), Crew's Cup Lounge(F), Yacthman's Steakhouse (G))",dining location,"Multiple Dinning places in the Yacht Club Resort (Ale and Compass Lounge (D),Captain's Grille (E), Crew's Cup Lounge(F), Yacthman's Steakhouse (G))"
What location has Dining from the running trail towards Stormalong Bay?,Beaches & Cream Soda Shop (H) or Hurricane Hanna's (I),Hurricane Hanna's (I),dining location,Hurricane Hanna's (I)
What is the nearest Dining from Convention Center?,Hurricane Hanna's Waterside Bar & Grill (I),None,dining location,None
Where can I find the nearest Dining from Crescent Lake?,Inside the bay area (Hurricane Hanna's - I) or just north (Beaches & Cream - H),Hurricane Hanna's (I),dining location,Hurricane Hanna's (I)
What map direction should I head toward to reach the closest Dining from Tennis Courts?,East,North East,direction,North East
Whats the label in the map for the campfire at Crescent lake beach?,Short walk,Letter (R),map legend,Letter (R)
What is the closest recreation activities north of Stormalong Bay?,Beaches & Cream Soda Shop (H),Lafferty Place Arcade(P),attraction,Lafferty Place Arcade(P)
Where is the check-in for the Beach Club Resort?,None (Dining is to the east/northeast),Check in would be from the Beach club entrance labeled A,facility,Check in would be from the Beach club entrance labeled A
What is the closest Dining from Disney's Beach Club Resort towards Stormalong Bay?,Martha's Vineyard (J) or Beaches & Cream Soda Shop (H),,dining location,Martha's Vineyard (J) or Beaches & Cream Soda Shop (H)
Where is the closest Dining from Beach Club Villas towards Stormalong Bay?,Cape May Cafe (K),Martha's Vineyard (J) and Cape May Cafe (K),dining location,Martha's Vineyard (J) and Cape May Cafe (K)
Where can I find the WiFi Symbol icon on the map?,In the map legend (bottom left); icons are not scattered on the map itself,,amenity,In the map legend (bottom left); icons are not scattered on the map itself
What is the nearest WiFi Symbol icon to Disney's Beach Club Resort?,Icons are not plotted on the map layout,"According to the map information, Wifi are available in Guest Rooms, Main Lobbies and Feature Pools",amenity,"According to the map information, Wifi are available in Guest Rooms, Main Lobbies and Feature Pools"
How many Wi-Fi Spots are in Disney's Yacht Club Resort?,0,"According to the map information, Wifi are available in Guest Rooms, Main Lobbies and Feature Pools",amenity,"According to the map information, Wifi are available in Guest Rooms, Main Lobbies and Feature Pools"
What is the large building surronded by parking lots in the north west part of the map?,"Wi-Fi availability (in guest rooms, lobbies, and feature pools)",Convention Center,facility,Convention Center
"Where is Disney's Yacht Club Entrance located relative to the Guest Services area on the map (e.g., north, south, east, or west)?",West/Northwest,West,direction,West
Which major Dining or areas are closest to the Beach Club Entrance?,"Ale and Compass Lounge (D), Captain's Grille (E)",Martha's Vineyard(J) and Cape May Cafe (K),dining location,Martha's Vineyard(J) and Cape May Cafe (K)
I am standing at the Disney's Yacht Club Entrance. List the major zones or areas I can access directly from here?,"Lobby/Concierge, Convention Center, Check-In, Ale and Compass Lounge","To the North (Left) Convention Center,                                            To the south (Right):Check-In, Lobby/Concierge for Yacht Club Resort( A, C), Ale and Compass Lounge(D)",region,"To the North (Left) Convention Center,                                            To the south (Right):Check-In, Lobby/Concierge for Yacht Club Resort( A, C), Ale and Compass Lounge(D)"
What accessibility amenities are offered according to the map legend?,"Elevators, Service animal relief areas","Elevators, AED, Service Animal Relief Area.",map legend,"Elevators, AED, Service Animal Relief Area."
Where can I find wheelchair/stroller-friendly services near Disney's Yacht Club Resort?,Elevators are located near the Check-In and Lobby areas,,accessibility feature,Elevators are located near the Check-In and Lobby areas
Where are the Facilities restrooms near Disney's Yacht Club Resort on the map?,Restrooms are not explicitly marked on this map,,amenity,Restrooms are not explicitly marked on this map
Where can I get beverages near Stormalong Bay?,Hurricane Hanna's Waterside Bar & Grill (I),,dining location,Hurricane Hanna's Waterside Bar & Grill (I)
I am currently at Disney's Yacht Club Resort. Where is the closest place I can get ice cream?,Beaches & Cream Soda Shop (H),"Multiple Dinning places in the Yacht Club Resort (Ale and Compass Lounge (D),Captain's Grille (E), Crew's Cup Lounge(F), Yacthman's Steakhouse (G))",dining location,"Multiple Dinning places in the Yacht Club Resort (Ale and Compass Lounge (D),Captain's Grille (E), Crew's Cup Lounge(F), Yacthman's Steakhouse (G))"
Which Recreation are on the way from Disney's Yacht Club Resort to Boat Launch?,Bayside Marina (S),None,attraction,None
Which Dining is located in the southeast of Disney's Yacht Club Resort?,Hurricane Hanna's Waterside Bar & Grill (I),None,dining location,None
Where is the Check in for  Disney's Beach Club Villas?,"Martha's Vineyard (J), Cape May Cafe (K)",No Explicit Check in marked in maps,facility,No Explicit Check in marked in maps
