Generated Questions,Generated Answers,True Answers,map_element_category,Reference Answer
How many Wellness Spa & Athletic Center are near Pool Clubhouse?,1 center (Zone E),"5, Zone E",amenity,"5, Zone E"
Are there any Wellness Spa & Athletic Center within a short walk of Resort Entrance?,No (it is a moderate walk across the river),,amenity,No (it is a moderate walk across the river)
Where can I find First Aid near Pool Area?,None,Only one at Guest Service office Southwest of Pool Area,amenity,Only one at Guest Service office Southwest of Pool Area
Which Food & Beverage can I find from Day Security Entrance towards Massage Center?,None,Pool Clubhouse with Wanapine Grab & Go (D5),dining location,Pool Clubhouse with Wanapine Grab & Go (D5)
What location has Food & Beverage from Guest Service Office towards RV Clubhouse?,Zone D (Chinook Restaurant area),"Zone D (Chinook Restaurant & Appaloosa Bar (1), Restaurant Food Pick-up Window Outside(2), Restaurant Event Rental (3))",dining location,"Zone D (Chinook Restaurant & Appaloosa Bar (1), Restaurant Food Pick-up Window Outside(2), Restaurant Event Rental (3))"
What is the nearest Food & Beverage from Resort Entrance?,Pool Clubhouse Grab & Go (D5),,dining location,Pool Clubhouse Grab & Go (D5)
Where can I find the nearest Mini Golf from Tribal Arts & Crafts?,South across the bridge (Zone D),,attraction,South across the bridge (Zone D)
What map direction should I head toward to reach the closest Food & Beverage from RV Clubhouse?,West,,direction,West
How close is the closest Food & Beverage from Resort Entrance (short/moderate/long walk)?,Moderate walk,,dining location,Moderate walk
What is the closest Wellness Spa & Athletic Center southeast of Pool Clubhouse?,Zone E,"Zone E(Massage Center (1), Personal Private Mineral Wellness Hot Tubs Mud or Salt Cleanse (2), Personal Pedicure with Mineral Wellness Foot Cleanse(3), Treadmills & Elliptical Machines (4), Steam & Sauna (5))",amenity,"Zone E(Massage Center (1), Personal Private Mineral Wellness Hot Tubs Mud or Salt Cleanse (2), Personal Pedicure with Mineral Wellness Foot Cleanse(3), Treadmills & Elliptical Machines (4), Steam & Sauna (5))"
"How many Private Wellness Hot Springs Soaking Tub Bungalow Cabanas, 9-Person are on the map?",None,"2 (89,90)",amenity,"2 (89,90)"
Where can I find the Racket Icon (Pickleball) icon on the map?,Far West side (near Natural Hot Spring Source),,attraction,Far West side (near Natural Hot Spring Source)
What is the nearest Volleyball Courts to Teepee Clubhouse?,Day Parking area,one northeast of the Teepee Clubhouse,attraction,one northeast of the Teepee Clubhouse
How many Kid’s Disc Golf icons are in Hotel Area?,0,,attraction,0
What does the Racket Icon represent on this map?,Pickleball,,map legend,Pickleball
"Where is the main entrance located relative to the rest of the map, such as top, bottom, or a specific zone?",Top (North) in Zone A,Top-Left  in Zone A,location,Top-Left  in Zone A
Which major Food & Beverage are closest to Wellness Hot Springs Leisure Pool?,Zone D / Pool Clubhouse Grab & Go (D5),"Zone D(Chinook Restaurant & Appaloosa Bar (1), Restaurant Food Pick-up Window Outside(2), Restaurant Event Rental (3), Pool Snack Bar(4), Pool Clubhouse with Wanapine Grab & Go (5),Food Cart(6))",dining location,"Zone D(Chinook Restaurant & Appaloosa Bar (1), Restaurant Food Pick-up Window Outside(2), Restaurant Event Rental (3), Pool Snack Bar(4), Pool Clubhouse with Wanapine Grab & Go (5),Food Cart(6))"
I am standing at the Resort Entrance. List the major zones or areas I can access directly from here?,Parking areas and Tube Put-In,"Parking areas, Tube Put-In, Pool Clubhouse (B), Cabanas",region,"Parking areas, Tube Put-In, Pool Clubhouse (B), Cabanas"
What accessibility amenities are offered according to the map legend?,ADA Parking Area,,accessibility feature,ADA Parking Area
Where can I find wheelchair/stroller-friendly services near Guest Service Office?,ADA parking spots nearby,"ADA Parking next to Day Security Entrance (2), ADA Parking in front of Tribal Arts & Crafts (3),ADA Parking near Tribal Salmon Bake & Ceremony (6)",accessibility feature,"ADA Parking next to Day Security Entrance (2), ADA Parking in front of Tribal Arts & Crafts (3),ADA Parking near Tribal Salmon Bake & Ceremony (6)"
Where are the family/inclusive restrooms on the map?,Not explicitly marked; general restrooms available,,accessibility feature,Not explicitly marked; general restrooms available
I am currently at the Guest Service Office. Where is the closest place I can get coffee?,Pool Clubhouse Grab & Go (D5),Pool Clubhouse with Wanapine Grab & Go (D5),dining location,Pool Clubhouse with Wanapine Grab & Go (D5)
Which Ping Pong Tables are on the way from Overnight Security Entrance to Event Rental Tent?,None (they are past or inside the clubhouse),One near Event Rental Tent,attraction,One near Event Rental Tent
In which map direction is Wellness Spa & Athletic Center located relative to Guest Service Office?,Southeast,east,direction,east
How many RVs can Stay in this Resort?,Yes (immediately south),72,map information,72
Which Horseback riding icon is located in the north of Tube Put-IN?,None,"3 spots near overflow parking, and Tribal Horse Stalls & Horseback Tours",attraction,"3 spots near overflow parking, and Tribal Horse Stalls & Horseback Tours"
Where can I find Wellness Spa & Athletic Center in the southwest of RV Clubhouse?,Zone E,"None, Wellness Spa & Athletic Center is in the west of RV Clubhouse",amenity,"None, Wellness Spa & Athletic Center is in the west of RV Clubhouse"
What location has Propane Fill Station from Tube & Kayak Float Security towards Dog Park?,None,One at RV Clubhouse Area (I3),facility,One at RV Clubhouse Area (I3)
Where can I find the nearest Wellness Spa & Athletic Center from Resort Entrance?,Zone E (South across the bridge),Zone E (Southeast across the bridge),amenity,Zone E (Southeast across the bridge)
What is the closest Food & Beverage north of Pool Clubhouse?,None,,dining location,None
Where is the closest Food & Beverage north of Guest Service Office?,None,,dining location,None
What is the closest Food & Beverage from Pool Clubhouse towards Natural Hot Spring Source?,Food Cart (D6),None,dining location,None
"What are the Cabanas from Pool Clubhouse Lockers, Bathrooms & Showers towards Pool Snack Bar?",Far West side,"Poolside VIP Cabana, Poolside Party Cabana, Poolside Adult Cabanas
",amenity,"Poolside VIP Cabana, Poolside Party Cabana, Poolside Adult Cabanas
"
Which Recreations are on the swimming Riverside?,Day Parking area,"Basketball Court, Hiking Trails, Biking Trails, Workout Equipment, Volleyball courts, Cornhole, pickleball court, Tube & Kayak",attraction,"Basketball Court, Hiking Trails, Biking Trails, Workout Equipment, Volleyball courts, Cornhole, pickleball court, Tube & Kayak"
How many Bicycle Icon (Biking Trails) icons are in Resort Entrance?,0,,path,0
Where can I find Treadmills & Elliptical Machines from Grab & Go Store to Chinook Restaurant & Appaloosa Bar?,Top (North) in Zone A,at Wellness SPA & Athletic Center (E4),amenity,at Wellness SPA & Athletic Center (E4)
Where can I find wheelchair/stroller-friendly services near the Pool Clubhouse?,Designated ADA Parking areas nearby,ADA Parking in front of Tribal Arts & Crafts (3),accessibility feature,ADA Parking in front of Tribal Arts & Crafts (3)
What are the Workout Equipment from Brown Bag Picnic Area towards Pool Clubhouse with Wanapine Grab & Go Store?,Pool Clubhouse Grab & Go (D5),on the Riverside near Brown Bag Picnic Area,amenity,on the Riverside near Brown Bag Picnic Area
How many Food & Beverage are near Pool Clubhouse?,6 listed in Zone D,1 (Pool Clubhouse with Wanapine Grab & Go (D5)),dining location,1 (Pool Clubhouse with Wanapine Grab & Go (D5))
Are there any Food & Beverage within a short walk of RV Clubhouse?,No (it is a moderate walk west),,dining location,No (it is a moderate walk west)
"What map direction should I head toward to reach Personal Pedicure with Mineral Wellness Foot Cleanse from Pool Clubhouse Concierge Area for Cabanas, Towels, Fishing & Horseshoe Guides?",None,Southeast,direction,Southeast
What location has Ping Pong Tables from Pool Storage & Pool Rental Pickup Area towards Tribal Area?,None,"None directly on the way, but theres is one west of the Pool Clubhouse Lockers, Bathrooms & Showers",attraction,"None directly on the way, but theres is one west of the Pool Clubhouse Lockers, Bathrooms & Showers"
Where can I find the nearest ADA Parking Area from Wellness Hot Springs Pool with Therapeutic Jets?,Pool Clubhouse Grab & Go (D5),near Tribal Salmon & Ceremony (F6),accessibility feature,near Tribal Salmon & Ceremony (F6)
What map direction should I head toward to reach the closest Food & Beverage from Pool Clubhouse?,South/Southeast,in Pool Clubhouse itself or Southeast,direction,in Pool Clubhouse itself or Southeast
Where is the closest Basketball Court to Wellness Cold Plunge Tubs?,None,one west of Wellness Cold Plunge Tubs near Natural Hot Spring Source,attraction,one west of Wellness Cold Plunge Tubs near Natural Hot Spring Source
What is the closest Food & Beverage from Guest Service Office towards Natural Hot Spring Source?,Food Cart (D6),None,dining location,None
Where is the closest Bocci Ball Courts from Pool Lifeguard Center towards Restaurant Food Pickup Window Outside?,Zone D,"None directly on the way, but theres is one west of Pool Lifeguard Center",attraction,"None directly on the way, but theres is one west of Pool Lifeguard Center"
Where can I find the Brown Bag Lunch icon on the map?,"Day Parking, Hotel Parking, and RV Parking",One near Day Parking,dining location,One near Day Parking
How many Lounge Chair Seating with Retractable Canopy & Cushions are in Pool Area?,0,52 (91-142),amenity,52 (91-142)
What does the Boot Icon represent on this map?,Hiking Trails,,map legend,Hiking Trails
