Generated Questions,Generated Answers,True Answers,map_element_category,Rereference Asnwer
How many Shopping are near Kinlochen?,1,,retail,1
What is the closest parking space to the Lodge?,,Lot H,facility,Lot H
What are the restraunts or food options in the winter offered by the Lodge?,Yes,"Clipper cafe, Wild Tomato, and Betsie River Pizza & Subs",dining location,"Clipper cafe, Wild Tomato, and Betsie River Pizza & Subs"
Which Parking is located in the north of Ice Rink?,Lot H,,facility,Lot H
Which part of the map has the most number of parking spaces?,Lot H,"North east edge of the map (Lot L, M, K, and J)",region,"North east edge of the map (Lot L, M, K, and J)"
"Walking from Crystal Spa towards Ice Rink, will there be a park on my way?",Wild Tomato Restaurant & Bar,Yes Barr Park,attraction,Yes Barr Park
"I am going from Peritz pond to Park at Water's Edge in the winter, are there any dining options on my way?",Beach House / Bru Bar,No (Beach house only available in summer),dining location,No (Beach house only available in summer)
What is the nearest Dining from The Crystal Colony?,Clipper Cafe and Wild Tomato,The Thistle,dining location,The Thistle
Where can I find the nearest Parking from Ice Rink?,Lot I,Lot H,facility,Lot H
What map direction should I head toward to reach the closest Shopping from Ice Rink?,west (The Lodge) or South (Mountain Market),,direction,west (The Lodge) or South (Mountain Market)
How close is the closest security station from Crystal Center (short/moderate/long walk)?,Short walk,,facility,Short walk
What is the closest Dining northeast of The Lodge?,Waffle Cabin,,dining location,Waffle Cabin
Where can i find a parking lot with an electrical charging station?,Waffle Cabin,Lot F,facility,Lot F
Are there any restrooms in the Crystal Colony?,Lot I,No,amenity,No
Where is the closest disabled Parking near the Crystal Center?,Lot H,Lot L,accessibility feature,Lot L
Where is the playground located at?,"Waffle Cabin, The Lodge, Inn at the Mountain, Beach House, Kinlochen",Near Mountain Adventure Zone,location,Near Mountain Adventure Zone
Are there any disabled parking in Wintergreen area?,Mountain Market,No,accessibility feature,No
"I am looking for cottage 315, where can I find it?",2,West of Lot G,location,West of Lot G
What does the Fork and Knife (Red) icon represent on this map?,Food Service,,map legend,Food Service
"Where is the main entrance located relative to the rest of the map (e.g., top, bottom, specific zone)?",Bottom and East,"Main entrance is not labeled, roads leading to the resort are south and east",location,"Main entrance is not labeled, roads leading to the resort are south and east"
Is Hamlet a cottage or a townhome?,,Hamlet is a Hotel,map information,Hamlet is a Hotel
Is Crystal Coaster Alpine Slide open in winter?,,No,map information,No
What are the condominiums on Washtenaw Rd. called?,,Pinehurst,region,Pinehurst
"I am coming from Washtenaw road and I take a left to Mountain center road, where will this road lead me to?","Kinlochen, Peak Fitness Center, Park at Water's Edge (South entrance)",Cross country & Golf learning center,location,Cross country & Golf learning center
I am standing at the Crystal Center. What are the services offered?,"Mountain Adventure Zone, The Lodge, Inn at the Mountain","Tickets, Ski equipment rentals, snowboard tuning, and meeting and conference facilities",map information,"Tickets, Ski equipment rentals, snowboard tuning, and meeting and conference facilities"
What accessibility amenities are offered according to the map legend?,Disability Parking,,map legend,Disability Parking
What building has an indoor pool?,Disability Parking in Lot H,Peak Fitness Center,facility,Peak Fitness Center
Where is the Real state office located at?,"Crystal Center, The Lodge, Peak Fitness, Beach House, Kinlochen",Inn at the Mountain building,facility,Inn at the Mountain building
Where can I get beverages near The Lodge?,"Clipper Cafe, Wild Tomato, Bru Bar",,dining location,"Clipper Cafe, Wild Tomato, Bru Bar"
I am currently at Crystal Spa. Where is the closest place I can get hot chocolate?,Waffle Cabin or Bru Bar,,dining location,Waffle Cabin or Bru Bar
Which hotel has ATM?,,Inn at the Mountain,facility,Inn at the Mountain
"I am at the Beach house, where should I go to reach a public restroom?",,Walk to Park at Water's Edge,path,Walk to Park at Water's Edge
What are the winter activities in the Mountain Adventure zone?,Top middle (Northwest of Mountain Adventure Zone),"Ski and snowboard lessons, also, waffle cabins are available",map information,"Ski and snowboard lessons, also, waffle cabins are available"
What is the name of the shop that offers ice cream?,Mountain Adventure Zone (North),crystal scoops ice cream,dining location,crystal scoops ice cream
Which lots are the closest to the Crystal Coaster Dual Alpine Slide?,Crystal Center,Lot M and Lot L,facility,Lot M and Lot L
What is the nearest restraunt to the Indoor Pool & Hot Tub?,Beach House,Wild Tomato Restaurant & Bar and Betsie River Pizza both located at the lodge,dining location,Wild Tomato Restaurant & Bar and Betsie River Pizza both located at the lodge
Where should I go to practice Archery? ,South / Southwest,Park at Water's edge,attraction,Park at Water's edge
"If I walk from Crystal Center towards The Lodge, will I pass by the Vertical Edge Climbing Wall?",No,,attraction,No
Is there a gate at the entrance to lot D?,"Learning Area, Mountain Adventure Zone",Yes,facility,Yes
Is the Laser Tag on the way to any food or rest areas if I start from Lot G?,"Yes, Beach House",,path,"Yes, Beach House"
Which Parking is located in the south of the Bungalows at Crystal Glen?,Lot E and Lot D,Lot C,facility,Lot C
Are there any disabled parking South of Crystal Spa?,Crystal Center and Mountain Market,Lot B (Southwest),accessibility feature,Lot B (Southwest)
Are there any disbaled parking in Wintergreen condominiums?,Beach House,No,accessibility feature,No
Are there any gates in the entrance of Lot I according to the map?,Wild Tomato Restaurant & Bar,"Yes, two gates",facility,"Yes, two gates"
Is there a defibrillator at the Mountain Adventure Zone?,Beach House,No,amenity,No
Is Disc golf activity offered at summer or winter?,Waffle Cabin or Bru Bar,at summer,map information,at summer
How many parking lots around Crystal Colony hotel?,North or South,"three (Lot D, Lot C, and Lot E)",facility,"three (Lot D, Lot C, and Lot E)"
What is the name of the retail shop in the Kinlochen building?,Short walk (Inside),Kinlochen shop,retail,Kinlochen shop
What is the name of the lounge in the Lodge?,Lot G,Vista lounge,dining location,Vista lounge
Where should I go to play pickleball in Crystal Mountain resort?,Lot I,Crystal Spa/Peak fitness,attraction,Crystal Spa/Peak fitness
