Generated Questions,Generated Answers,True Answers,map_element_category,Reference Answer
How many Dining are near The Paddock Pool?,1 (The Paddock Grill),,dining location,1 (The Paddock Grill)
In which map direction is Dining located relative to The Paddock Pool?,South / Southwest,on site ,direction,on site 
Are there any Dining within a short walk of The Carriage House?,Yes,"Yes, The Turf Club Bar and Grill (D)",dining location,"Yes, The Turf Club Bar and Grill (D)"
Which Dining is located in the north of The Carriage House?,On the Rocks Pool Bar,"BBQ Grill, Backstretch Pool Bar at the Grandstand Pool Area (G)",dining location,"BBQ Grill, Backstretch Pool Bar at the Grandstand Pool Area (G)"
Where can I find rooms in range 1101-1436?,None,at Congress Park Area near Walkway To Disney Springs,location,at Congress Park Area near Walkway To Disney Springs
Which Dining can I find from The Grandstand Pool towards The Carousel?,BBQ Grill (at The Carousel),,dining location,BBQ Grill (at The Carousel)
What location has Dining from The Paddock Grill towards Lake Buena Vista Golf Course?,The Carriage House / High Rock Spring Pool Area,"The Paddock Grill at the Paddock Pool Area (H), On the Rocks Pool Bar at High Rock Spring Pool Area (F), The Turf Club Bar and Grill (D), The Artist's Pallette (E)",dining location,"The Paddock Grill at the Paddock Pool Area (H), On the Rocks Pool Bar at High Rock Spring Pool Area (F), The Turf Club Bar and Grill (D), The Artist's Pallette (E)"
What is the nearest Dining from The Grandstand Pool?,Backstretch Pool Bar (on-site),,dining location,Backstretch Pool Bar (on-site)
Where can I find the nearest Dining from The Paddock Grill?,The Carriage House (The Turf Club / The Artist's Palette),"The Paddock grill itself, the nearest other dining location is On the Rocks Pool Bar ",dining location,"The Paddock grill itself, the nearest other dining location is On the Rocks Pool Bar "
What map direction should I head toward to reach the closest Dining from The Springs?,West,,direction,West
How close is the closest Dining from The Carousel (short/moderate/long walk)?,Short walk (BBQ Grill on-site),,dining location,Short walk (BBQ Grill on-site)
What is the closest Amenities southwest of The Paddock?,Congress Park Pool Area,"Automated External Defibrillators near The Carriage House, High Rock Spring Pool Area (F), and  Senses- A disney Spa/Fitness Center (L)
Senses - A Disney Spa/Fitness Center",amenity,"Automated External Defibrillators near The Carriage House, High Rock Spring Pool Area (F), and  Senses- A disney Spa/Fitness Center (L)
Senses - A Disney Spa/Fitness Center"
Where is the closest Dining northwest of The Carriage House?,Backstretch Pool Bar,"None, closest is north of the Carriage House (BBQ Grill and Backstretch Pool Bar at the Grandstand Pool Area (G))",dining location,"None, closest is north of the Carriage House (BBQ Grill and Backstretch Pool Bar at the Grandstand Pool Area (G))"
What is the closest Dining from The Grandstand Pool towards The Paddock?,The Carriage House dining options,"Backstretch Pool Bar, BBQ Grill at the Grandstand Pool Area (G), BBQ Grill at The Carousel",dining location,"Backstretch Pool Bar, BBQ Grill at the Grandstand Pool Area (G), BBQ Grill at The Carousel"
Where is the closest Dining from Resort Airline Check-in?,The Carriage House dining options,"On the Rocks Pool Bar at High Rock Spring Pool Area (F), The Turf Club Bar and Grill (D), The Artist's Pallette (E)",dining location,"On the Rocks Pool Bar at High Rock Spring Pool Area (F), The Turf Club Bar and Grill (D), The Artist's Pallette (E)"
Where can I find the WiFi Symbol icon on the map?,Bottom left corner (in the legend),,amenity,Bottom left corner (in the legend)
What is the nearest WiFi Symbol icon to Lobby/Concierge/Disney Vacation Club Info?,Only located in the map legend,,amenity,Only located in the map legend
Where is the closest Bus Stop from Campfire?,0,on Broadway street in front of High Rock Spring Pool Area (F),facility,on Broadway street in front of High Rock Spring Pool Area (F)
What does the Bus Icon represent on this map?,Bus Stops,,map legend,Bus Stops
"Where is the main entrance (Lobby/Concierge/Disney Vacation Club Info) located relative to The Carousel on the map (e.g., north, south, east, west)?",South,,direction,South
Which major Amenities are closest to the Lobby/Concierge/Disney Vacation Club Info?,"Resort Airline Check-In, The Carriage House, High Rock Spring Pool Area","Resort Airline Check-In(B), AED near Lobby/Concierge/Disney Vacation Club info (A), and Resort Airline Check-In (B)",amenity,"Resort Airline Check-In(B), AED near Lobby/Concierge/Disney Vacation Club info (A), and Resort Airline Check-In (B)"
I am standing at the Lobby/Concierge/Disney Vacation Club Info. List the major zones or areas I can access directly from here?,"The Carriage House, High Rock Spring Pool Area, The Springs",,region,"The Carriage House, High Rock Spring Pool Area, The Springs"
What accessibility amenities are offered according to the map legend?,Automated External Defibrillators (AEDs) and Service animal relief areas,,map legend,Automated External Defibrillators (AEDs) and Service animal relief areas
Where can I find wheelchair/stroller-friendly services near The Paddock Pool?,Not specified on this map,,accessibility feature,Not specified on this map
Where are the family/inclusive restrooms in the Amenities near The Paddock Pool on the map?,Not specified on this map,,amenity,Not specified on this map
Where can I get beverages near The Grandstand Pool?,Backstretch Pool Bar,,dining location,Backstretch Pool Bar
I am currently at The Carriage House. Where is the closest place I can get coffee?,The Artist's Palette,,dining location,The Artist's Palette
Where can I find Disney's Magical Express Bus Stop on the map?,The Carriage House dining options,Only one in front of Resort Airline Check-in (B),facility,Only one in front of Resort Airline Check-in (B)
In which map direction is Dining located relative to Lobby/Concierge/Disney Vacation Club Info?,Southeast / Northeast,"South: The Turf Club Bar and Grill (D), The Artist's Palette (E)
East: On the Rocks Pool Bar at High Rock Spring Pool Area (F)
Northwest: BBQ Grill, Backstretch Pool Bar at the Grandstand Pool Area (G)
Northeast: The Paddock Grill at Paddock Pool Area (H)",direction,"South: The Turf Club Bar and Grill (D), The Artist's Palette (E)
East: On the Rocks Pool Bar at High Rock Spring Pool Area (F)
Northwest: BBQ Grill, Backstretch Pool Bar at the Grandstand Pool Area (G)
Northeast: The Paddock Grill at Paddock Pool Area (H)"
Are there any Dining within a short walk of The Grandstand?,Yes (Backstretch Pool Bar),"Yes (Backstretch Pool Bar, and BBQ Grill at The Grandstand Pool Area (G) )",dining location,"Yes (Backstretch Pool Bar, and BBQ Grill at The Grandstand Pool Area (G) )"
Which Dining is located in the northwest of The Grandstand Pool?,None,,dining location,None
Where can I find Dining in the north of The Paddock?,BBQ Grill (at The Carousel),"None, dining can be found Northwest of The Paddock (BBQ Grill at The Carousel)",dining location,"None, dining can be found Northwest of The Paddock (BBQ Grill at The Carousel)"
Which Designated Smoking Locations can I find at Congress Park Zone?,The Carriage House dining options,One at the South near Congress Park Pool Area (I),amenity,One at the South near Congress Park Pool Area (I)
What location has Dining from The Grandstand Pool towards The Springs?,The Carriage House,"On the Rocks Pool Bar at High Rock Spring Pool Area (F), OR On the Rocks Pool Bar at High Rock Spring Pool Area (F), The Turf Club Bar and Grill (D), The Artist's Palette (E) ",dining location,"On the Rocks Pool Bar at High Rock Spring Pool Area (F), OR On the Rocks Pool Bar at High Rock Spring Pool Area (F), The Turf Club Bar and Grill (D), The Artist's Palette (E) "
What is the nearest Dining from The Springs?,The Carriage House (The Turf Club / The Artist's Palette),On the Rocks Pool Bar at High Rock Spring Pool Area (F),dining location,On the Rocks Pool Bar at High Rock Spring Pool Area (F)
Where can I find the nearest Dining from The Carriage House?,Inside The Carriage House (on-site),,dining location,Inside The Carriage House (on-site)
What map direction should I head toward to reach the closest Dining from The Grandstand Pool?,On-site (or South/Southeast toward The Carriage House),On-site (or Southeast toward The Carriage House or High Rock Spring Pool Area),direction,On-site (or Southeast toward The Carriage House or High Rock Spring Pool Area)
How close is the closest Dining from The Paddock Pool (short/moderate/long walk)?,Short walk (on-site),,dining location,Short walk (on-site)
What is the closest Dining north of The Grandstand Pool?,None,,dining location,None
Where is the closest Dining northeast of The Grandstand Pool?,BBQ Grill (at The Carousel),,dining location,BBQ Grill (at The Carousel)
Where is the closest Dining from The Carriage House towards High Rock Spring Pool?,On the Rocks Pool Bar,,dining location,On the Rocks Pool Bar
What is the nearest Laundry icon to The Paddock?,Only located in the map legend,One at The Paddock Pool Area (H),amenity,One at The Paddock Pool Area (H)
How many AED are in the Resort?,0,22,amenity,22
What does the WiFi Symbol icon represent on this map?,Wi-Fi availability in many areas,,map legend,Wi-Fi availability in many areas
Which major Recreation are closest to the Carriage House?,"High Rock Spring Pool Area, Horsing Around Rentals, Campfire, Senses Spa","Lake Buena Vista Golf Course (M), High Rock Spring Pool Area (F), Win, Place or Show Arcade  ",attraction,"Lake Buena Vista Golf Course (M), High Rock Spring Pool Area (F), Win, Place or Show Arcade  "
List the Zones/areas that the New balance running trail (0.75 mile) goes into.,Not specified on this map,The Paddock and The Springs,region,The Paddock and The Springs
Where are the Amenities family/inclusive restrooms near the The Grandstand on the map?,Not specified on this map,,amenity,Not specified on this map
What map direction should I head toward to reach Walkway to Disney Springs from Senses-A Disney Spa/Fitness Center? ,Backstretch Pool Bar,Southeast,direction,Southeast
I am currently at The Paddock Pool. Where is the closest place I can get coffee?,The Paddock Grill (or The Artist's Palette at Carriage House),The Paddock Grill,dining location,The Paddock Grill
How many Amenities are near Lobby/Concierge/Disney Vacation Club Info?,"Many (Check-in, Spa, Pools, Recreation are all adjacent)",2 (AED at (A) & (B)),amenity,2 (AED at (A) & (B))
Are there any Amenities within a short walk of The Carriage House?,Yes,,amenity,Yes
Where can I find Dining in the southwest of High Rock Spring Pool?,The Turf Club Bar and Grill / The Artist's Palette,,dining location,The Turf Club Bar and Grill / The Artist's Palette
Which Dining can I find from Lobby/Concierge/Disney Vacation Club Info towards The Grandstand Pool?,On the Rocks Pool Bar,"BBQ Grill, Backstretch Pool Bar at the Grandstand Pool Area (G)",dining location,"BBQ Grill, Backstretch Pool Bar at the Grandstand Pool Area (G)"
Where can I find service animal Relief areas on the map? ,The Carriage House,Located in grassy areas adjacent to parking lots,accessibility feature,Located in grassy areas adjacent to parking lots
What is the nearest Dining from Lake Buena Vista Golf Course?,Inside The Carriage House (on-site),"The Turf Club Bar and Grill (D), The Artist's Palette (E)",dining location,"The Turf Club Bar and Grill (D), The Artist's Palette (E)"
What map direction should I head toward to reach the closest Dining from The Carriage House?,On-site,,direction,On-site
How close is the closest Dining from The Grandstand (short/moderate/long walk)?,Short walk (on-site at the pool),,dining location,Short walk (on-site at the pool)
What is the closest Dining north of The Carousel?,None,,dining location,None
Where can I find Hot Tub on the map?,None,"at High Rock Spring Pool Area (F), The Grandstand Pool Area (G)",amenity,"at High Rock Spring Pool Area (F), The Grandstand Pool Area (G)"
List the Zones that are located on New balance running trail (1 mile),The Carriage House dining options,"The Paddock, The Springs, and Congress Park",region,"The Paddock, The Springs, and Congress Park"
What map direction should I head toward to reach Treehouse Villas from Check in?,Only located in the map legend,West,direction,West
Which Laundry are on the way from Disney Vacation Club Preview Center to Playground at Congress Park Pool Area?,Wi-Fi availability in many areas,"one near Horsing Around Rentals (J), one at Congress Park Pool Area (I) ",amenity,"one near Horsing Around Rentals (J), one at Congress Park Pool Area (I) "
"Where is the main entrance located relative to the rest of the map (e.g., top, bottom, specific zone)?",Top / North central area,Top Center / North Central area,location,Top Center / North Central area
Which major Dining or areas are closest to the Lobby/Concierge/Disney Vacation Club Info?,"The Artist's Palette, The Turf Club Bar and Grill","The Artist's Palette (E), The Turf Club Bar and Grill (D), On the Rocks Pool Bar (F)",dining location,"The Artist's Palette (E), The Turf Club Bar and Grill (D), On the Rocks Pool Bar (F)"
I am standing at the The Carriage House. List the major zones or areas I can access directly from here?,"High Rock Spring Pool Area, The Springs, Senses Spa / Golf Course area","High Rock Spring Pool Area, The Springs, The GRandstand",region,"High Rock Spring Pool Area, The Springs, The GRandstand"
"What accessibility amenities are offered according to the map legend near the Lobby/Concierge/Disney Vacation Club Info, and which symbols indicate AED (Red Heart) locations for the Lodging area to the north?","Service animal relief areas; Red heart icon with ""AED""",,map legend,"Service animal relief areas; Red heart icon with ""AED"""
Where can I find wheelchair/stroller-friendly services near Lake Buena Vista Golf Course?,Not specified on this map,,accessibility feature,Not specified on this map
Where are the family/inclusive restrooms on the map?,Not specified on this map,,amenity,Not specified on this map
I am currently at The Carousel. Where is the closest place I can get coffee?,The Artist's Palette (at The Carriage House),BBQ Grill at the Carousel,dining location,BBQ Grill at the Carousel
Which Dining are on the way from The Carriage House to The Grandstand Pool?,On the Rocks Pool Bar,"BBQ Grill, Backstretch Pool Bar at the Grandstand Pool Area (G)",dining location,"BBQ Grill, Backstretch Pool Bar at the Grandstand Pool Area (G)"
How many Amenities are near The Grandstand?,"Pool, Pool Bar, BBQ Grill, Laundry, Bus Stop",5 AED all over the Grandstand area,amenity,5 AED all over the Grandstand area
In which map direction is Dining located relative to The Grandstand?,South / Southeast,,direction,South / Southeast
Which Recreation is located in the southeast of The Paddock Grill?,Congress Park Pool Area / Playground,"Horsing Around Rentals(J), Campfire (K), Senses-A Disney Spa/Fitness Center (L), Lake Buena Vista Golf Course(M), Win, Place or Show Arcade (N), Tennis, Basketball and Shuffleboard Courts (O) ",attraction,"Horsing Around Rentals(J), Campfire (K), Senses-A Disney Spa/Fitness Center (L), Lake Buena Vista Golf Course(M), Win, Place or Show Arcade (N), Tennis, Basketball and Shuffleboard Courts (O) "
Where can I find BBQ Grill on the map?,None,"The Carousel Zone, The Grandstand Pool Area (G), Congress Park Pool Area (I)",dining location,"The Carousel Zone, The Grandstand Pool Area (G), Congress Park Pool Area (I)"
Which Laundry can I find near The Turf Club Bar and Grill?,The Carriage House dining options,at The Grandstand Pool Area (G),amenity,at The Grandstand Pool Area (G)
What location has Bus stop near The Artist’s Palette?,The Carriage House / High Rock Spring Pool Area,in front of High Rock Spring Pool Area (F),facility,in front of High Rock Spring Pool Area (F)
Where can I find the nearest Dining from The Paddock Pool?,The Paddock Grill (on-site),,dining location,The Paddock Grill (on-site)
What map direction should I head toward to reach the closest Dining from The Carousel?,On-site (BBQ Grill) or South/Southwest (to The Carriage House),,direction,On-site (BBQ Grill) or South/Southwest (to The Carriage House)
How close is the closest Dining from The Grandstand Pool (short/moderate/long walk)?,Short walk (on-site),,dining location,Short walk (on-site)
What is the closest Designated Smoking Locations near On the Rocks Pool Bar?,BBQ Grill (at The Carousel),"one behind Resort Airline Check in, near the entrance of each Guest building (Resort airline Check in (B) and Lobby/Concierge/Disney Vacation Club Info (A))",amenity,"one behind Resort Airline Check in, near the entrance of each Guest building (Resort airline Check in (B) and Lobby/Concierge/Disney Vacation Club Info (A))"
Where is the closest Dining to Horsing Around Rentals?,On the Rocks Pool Bar,,dining location,On the Rocks Pool Bar
Where can I find Boats to Disney Springs on the map?,On the Rocks Pool Bar,Bottom Center of the map,facility,Bottom Center of the map
"Where can I find the nearest bus stop from Tennis, Basketball and Shuffleboard Courts?",Bottom left corner (in the legend),in front of High Rock Spring Pool Area (F),facility,in front of High Rock Spring Pool Area (F)
What is the nearest Bus Stop to Backstretch Pool Bar?,Only located in the map legend,One near the building that its room numbers are in range 8101-8436 at The Grandstand Zone,facility,One near the building that its room numbers are in range 8101-8436 at The Grandstand Zone
Which major Dining or areas are closest to the Entrance?,The Carousel (BBQ Grill),,dining location,The Carousel (BBQ Grill)
Where can I get beverages near The Carriage House?,"The Turf Club Bar and Grill, The Artist's Palette, On the Rocks Pool Bar",,dining location,"The Turf Club Bar and Grill, The Artist's Palette, On the Rocks Pool Bar"
"I am currently at Win, Place or Show Arcade. Where is the closest place I can get coffee?",Backstretch Pool Bar or The Artist's Palette,"The Artist's Palette, On The Rocks Pool Bar",dining location,"The Artist's Palette, On The Rocks Pool Bar"
What locations does the Disney Vacation Club way pass by?,The Carriage House dining options,It is the main way from where I can access the Resort Main Entrance,attraction,It is the main way from where I can access the Resort Main Entrance
How many Dining are near The Carriage House?,3,,dining location,3
In which map direction is Amenities located relative to The Carriage House?,All directions (surrounding),"Nortwest, North, Northeast, east, Southeast",direction,"Nortwest, North, Northeast, east, Southeast"
Are there any Amenities within a short walk of The Paddock Pool?,"Yes (Laundry, Bus Stop, AED)",Yes (AED),amenity,Yes (AED)
Where can I find Dining in the southwest of The Paddock?,The Carriage House,"The turf Club Bar and Grill (D), The Artist's Palette (E), On the Rocks Pool Bar at High Rock Spring Pool Area (F)",dining location,"The turf Club Bar and Grill (D), The Artist's Palette (E), On the Rocks Pool Bar at High Rock Spring Pool Area (F)"
What locations does the Avenue of the Pines pass by?,The Carriage House dining options,it is the way that connects Main Entrance to The Grandstand,attraction,it is the way that connects Main Entrance to The Grandstand
What location has Recreation from Congress Park Pool towards High Rock Spring Pool?,The Carriage House area,"Horsing Around Rentals(J), Or Campfire (K), , Win, Place or Show Arcade (N),  Senses-A Disney Spa/Fitness Center (L)",attraction,"Horsing Around Rentals(J), Or Campfire (K), , Win, Place or Show Arcade (N),  Senses-A Disney Spa/Fitness Center (L)"
What is the nearest Dining from High Rock Spring Pool?,On the Rocks Pool Bar (on-site),,dining location,On the Rocks Pool Bar (on-site)
What locations does the Union Avenue pass by?,On-site (The Paddock Grill),"it pass by The Carousel Area, and The Paddock Area",attraction,"it pass by The Carousel Area, and The Paddock Area"
